id,date_scrapped,date_post,job_search,title,_description,_level,price,cathegory
15,2023-10-19,2023-10-19,Data scientist,AI/ML Developer for Sports Live Data Prediction,"Job Description: Are you a skilled AI/ML developer with a passion for sports and the ability to create cutting-edge predictive models? We are seeking a talented individual with a minimum of 3 years of experience in artificial intelligence and machine learning to join our dynamic team. As an AI/ML Developer for Sports Live Prediction, you will play a crucial role in revolutionizing the way we analyze and predict sports events. Responsibilities: Develop and implement machine learning models to predict outcomes and trends in sports events. Collect, preprocess, and analyze live sports from various sources. Collaborate with engineers and domain experts to refine collection strategies. Fine-tune and optimize existing AI/ML models to improve prediction accuracy. Stay up-to-date with the latest advancements in AI/ML and apply them to the sports prediction domain. Qualifications: A minimum of 3 years of professional experience in AI/ML development. Strong proficiency in programming languages such as Python and libraries like TensorFlow and scikit-learn. Experience with sports analysis and a genuine passion for sports. Proven ability to develop and deploy machine learning models in real-time environments. Strong problem-solving skills and the ability to work independently and in a team. Excellent communication skills to collaborate effectively with cross-functional teams. An understanding of preprocessing, feature engineering, and model evaluation.",2,2000,"Data Science,Data Analysis,Machine Learning,Python,Artificial Intelligence,TensorFlow,Deep Learning"
16,2023-10-19,2023-10-19,Data scientist,Compensated Interview about Big Data Tools | $250 USD Honorarium,"Hello! We are conducting a compensated study about the topic of big data analytics tools. This study focuses on your opinions on big data analytics platforms in general and would not require you to divulge anything specific or proprietary about your organization. We are simply looking to understand opinions on the design of the platforms you use, how useful the platforms are, if there are any points of improvement, and other topics related to your opinion. We are providing a $250 USD compensation if you qualify, are selected, and successfully complete an approximately 45-60 minute Zoom interview. The interview is confidential and for research purposes only. If you wish to participate, we would like to see if this study is a fit. Please let us know and we will send you the pre-screening survey for you to be considered. Thanks!",0,250,"Data Analysis,Big Data,Data Science,Operations Analytics,Growth Analytics"
17,2023-10-19,2023-10-19,Data scientist,Implementation of a Churn prediction model,"#ChurnPrediction #BaselineModel #Python #Snowflake ! Nota Bene: if you are interested about the project, please write a short description of the project and the different milestones ! We are managing subscribers for multiple merchants who are selling their services online and we want to implement a churn prediction model into our solution. We have about - the merchant - the customers - their subscriptions (price, frequency, discount, add-on...) (~1M) - Invoices (~200M) The is stored in Snowflake and ready to be used for ML. The goal of this project is to build a baseline model and have some analysis of our . We will make another project for the deployment of the model in our infrastructure. Deliverables: - EDA - Notebook with the models - Description of the processing Please reach out if you have any other questions.",2,1000,"Data Science Consultation,Data Analysis,Data Science,Machine Learning Model,Python,Machine Learning"
18,2023-10-19,2023-10-19,Data scientist,Speech Recognition Algorithm Developer for Pronunciation Checking Application,"Project Overview We are seeking an experienced developer to create an algorithm that can evaluate the pronunciation accuracy of users based on a provided text. This feature will be similar to the pronunciation checking function found in language-learning apps like Duolingo. Responsibilities - Develop a robust and accurate speech recognition algorithm that can interpret user speech in real-time - Match the captured speech to the provided text to evaluate pronunciation accuracy - Develop an API endpoint for integrating the algorithm into our existing web application - Test the solution for scalability and efficiency - Write clear, maintainable, and well-documented code",1,2000,"Data Science,Machine Learning,Natural Language Processing,Deep Learning,Artificial Intelligence,+1"
19,2023-10-19,2023-10-19,Data scientist,Big Data Web Portal Analysis Developer Needed,"Key Responsibilities 1. Design, develop, and implement a user-friendly web portal for big data analysis. 2. Integrate the web portal with existing data storage and processing systems. 3. Implement robust security measures to ensure data privacy and compliance with industry standards. 4. Create interactive dashboards and reporting features within the portal. 5. Optimize the portal for performance, ensuring fast retrieval, analysis, and visualization. 6. Conduct thorough testing to ensure the portal is bug-free and user-friendly. 7. Provide training and documentation for our internal teams on how to use the portal effectively. Qualifications: 1. Bachelor’s degree in Computer , , or a related field. 2. Proven experience in web portal development, specifically for big analysis. 3. Proficiency in backend and frontend development technologies. 4. Experience with big technologies like Hadoop, Spark, or similar. 5. Familiarity with visualization tools like Tableau, Power BI, or similar. 6. Strong communication, collaboration, and project management skills.",2,500,"Data Integration,Data Preprocessing,Data Transformation,Database Architecture,Apache Spark,Java,+4"
20,2023-10-19,2023-10-19,Data scientist,Merge data with ML Classification Algorithm-immediate,I have a classification algorithm that is running with 84% accuracy. I need to merge additional data(CSV file) to see if I can increase the accuracy. I have already preprocessed(CSV file) the additional data. It is just you need to merge the preprocessed additional data in the existing ML pipeline. Or you can just make use of the preprocessed addition to derive a 92% + accuracy score if the merge is not giving more accuracy. I want things to be done in 5 hours. All necessary code is already in place. ======================== I am seeking only experienced ML engineers who can turn it around quickly.,2,70,"Data Science,Machine Learning Model,Model Optimization,Model Tuning,Classification,pandas,Python,+1"
21,2023-10-19,2023-10-19,Data scientist,Find relevant participants for online hackathon,"MORE INFORMATION ABOUT AGORIZE AT THE END OF THE POST ABOUT THE MISSION Your mission is to find and contact relevant students in Sweden / Denmark / Finland / Norway to share the information regarding an online hackathon organized by Huawei. Mission performance will be assessed by the number of participants/ teams registered on the online platform by the deadline. Called Huawei Tech Arena Sweden 2023, the objective of this hackathon is to develop a cutting-edge algorithm that can adapt to varying resource demands driven by real-time traffic scenarios. It will be a unique opportunity for participants to work with Huawei experts, access a Huawei internship opportunity, and win a cash prize out of a pool of EUR 10,000! Participating is completely free and can be done in teams of 2-3. The terms of the offer are as follows: - USD 25 per participant registered on the online competition platform We target mainly Bachelor/ Masters computer / software development students, but the competition is open to everyone interested in analytics, Cloud and AI technology. The deadline to register on the platform and submit the deliverables is November 14th, 2023. Once you accept this offer, we will send you a dedicated link to be able to precisely track the number of participants registered thanks to your efforts. You will also receive all the necessary communication content (templates, images, etc.) Thank you! ABOUT AGORIZE Agorize is an open-innovation platform that connects globals companies with innovators all around the world. We recently launched the 12th edition of Schneider Electric’s innovation competition open internationally and we are looking for freelancers to help us promote it and enroll participants!",0,3000,"Contact List,Market Research,Lead Generation,Lead Capture"
22,2023-10-19,2023-10-19,Data scientist,Building ARIMA Model Using R,"Hello, I need a talented analyst who can work on financial series with about 2068 observation which tries to capture seasonality of a flow. You are required to build an ARIMA like maximum likelihood model in R to predict 63 days, and also a statistic test that justify the choice of the ARIMA model which includes test of homoscedasticity, normality of residual, stationarity and other test relevant.",1,40,"Data Science,Data Analysis,R,Statistics,Python,Machine Learning,ggplot2,Econometrics,+2"
23,2023-10-19,2023-10-19,Data scientist,Python Signal Analyzer,"We are looking for a skilled Python developer with expertise in signal analysis. The project involves analyzing signals using Python and extracting relevant information. The ideal candidate should have a strong understanding of signal processing techniques and be proficient in Python programming. This role requires the ability to work independently and deliver high-quality results. Key skills required for this job include: - Python programming - Signal processing - analysis - Statistical analysis - Problem-solving - Strong analytical skills If you are passionate about signal analysis and have proven experience in Python programming, we would like to hear from you.",1,200,"Data Science,Data Analysis,Python,Machine Learning,C++"
24,2023-10-19,2023-10-19,Data scientist,Android + IOS Developer,"We are looking for Android and IOS Developer with having experience of 7+ years. *They are responsible for designing and coding the base application. *Ensuring the quality of the application, fixing application bugs, maintaining the code, and implementing application updates. *Identifying potential problems and resolving application bottlenecks. *Publishing application on App Store. Requirements: *Bachelor’s degree in computer or software engineering. *Proven experience as an app developer. *Proficient in Objective-C, Swift, and Cocoa Touch. *Extensive experience with iOS Frameworks such as Core and Core Animation. TIMINGS MON TO SAT 9PM TO 1:30AM IST BUDGET- $150/MONTHLY",1,150,"Smartphone,Android,iOS,Mobile App Development,iOS Development,User Authentication,+2"
25,2023-10-19,2023-10-19,Data scientist,Full Stack Python Application Development,"Main functionality required: AI/ML and Data Analytics Specifications: Partial specifications provided Preferred delivery timeline: Long term, more than 4 weeks Skills and experience required: -- 4+ years of experience in developing Web applications including Server side business logic, database design, REST APIs and User Interfaces -- Bachelor’s Degree in Computer /Engineering or Information Technology -- Proven experience as a Full Stack Web Application Developer using Python, Django, Flask, REST, JSON, NGINX, etc -- Experience in developing User Interfaces using HTML, JavaScript Frameworks (React, Angular, Node.js) and CSS Frameworks (Bootstrap, Materialize). -- Proficiency with SQL and NoSQL databases like MySQL, PostgreSQL, MongoDB, CouchDB, etc -- Experience with source code version control systems like Git and CI/CD tools like Jenkins, Azure DevOps, etc -- Experience working with Cloud based development and production environments across Microsoft Azure, Amazon or Google.",0,30,"Java,Kotlin,JavaScript,Android,iOS,Smartphone,Web Development,Android App Development,+2"
26,2023-10-19,2023-10-19,Data scientist,Senior AI/ML Consultant,"Following our successful integration of Generative AI in our content creation module of our SaaS platform during Phase 1, we are now moving forward to Phase 2 of our platform enhancement. We are in search of a Senior AI/ML Consultant to spearhead advanced feature development, optimization, and expansion of our Generative AI capabilities. Responsibilities: Review the outcomes and feedback from the Phase 1 implementation to inform the strategy for Phase 2. Collaborate with the development team to refine the existing Generative AI capabilities for textual and image content creation. Propose additional AI/ML features to further enhance user experience and the range of generated content. Propose optimization of AI/ML processes to improve software efficiency and performance. Mentor and train the in-house team on best practices and advanced AI/ML techniques. Skills and Qualifications: A degree in Computer , , AI, or a related field. Minimum of 3 years of experience in developing and refining AI/ML solutions, especially in a SaaS environment. Expertise in generative AI models and their applications in content creation, including GPT-4 / OpenAI and open source models. Deep knowledge of Python and proficiency in ML libraries such as TensorFlow, PyTorch, Langchain etc. Proven ability to analyze complex , generate insights, and drive platform improvements. Strong communication skills for cross-functional collaboration and strategy articulation. Why Join Our Phase 2 Journey? Opportunity to work on the expansion of a successful AI project in the content marketing space. Collaboration with a dedicated and innovative team. Potential for further engagement in subsequent phases based on project success.",2,2000,"GPT-4,Generative AI,Azure OpenAI Service,Large Language Model,Machine Learning,Artificial Intelligence"
27,2023-10-19,2023-10-19,Data scientist,Embedded Systems Expert for Data Analysis and Optimization of Sensor Performance Using Python,"I am really happy to write you back. So, I am publishing the current post. Let me know if you want to participate, Of course, you will be my first choise if you are able to do it. Description: I am seeking a data processing expert specializing in handling electrical signals from embedded systems like Raspberry Pi and Arduino. The primary task involves utilizing Python to process these signals, subsequently generating various models to evaluate their performance through a scientific demonstration. The project emanates from a sensor setup that identifies phase changes. While the sensor is operational, there's a need to optimize its performance to function at its full potential, and concurrently, delve into comprehensive analysis to assess the efficacy of different algorithms. This task extends to a comparative analysis, underpinned by metrics like the F1 score, and visual representations through charts. Key Responsibilities: Optimize the current sensor setup to achieve 100% functionality, ensuring accurate phase change detection. Employ Python for processing to create diverse models, analyzing the efficiency of various algorithms used. Conduct a rigorous comparative analysis of the algorithms, backed by metrics such as the F1 score, and provide insightful visualizations. Assist in drafting a well-detailed report encapsulating the performance, analysis, and insights on each model employed. Collaborate closely in coding endeavors to ensure seamless operation, and provide a thorough explanation of all implementations. Offer substantial contributions towards completing a scientific paper I am authoring, based on the system developed. Qualifications: Profound knowledge and experience in embedded systems, particularly Raspberry Pi and Arduino. Proficient in Python programming, especially in the context of processing and model generation. Strong background in algorithm analysis, preferably with experience in evaluating algorithm efficiency in embedded systems. Excellent communication skills for effective collaboration and knowledge transfer. Prior experience in scientific reporting and paper drafting is highly desirable. This project offers a collaborative platform to not only enhance a sensor-based system but also delve into a meaningful analysis of algorithm efficiency in real-world applications. If you are passionate about embedded systems and have a keen eye for analysis, I am looking forward to discussing this project further with you. I am looking for someone that is really good on supervised learning and unsupervised learning and all Dynamic Time Warping. That is what I use now. Thank you a lot",2,90,"Data Science,Data Analysis,Python,Machine Learning,Embedded System"
28,2023-10-19,2023-10-19,Data scientist,Embedded Systems Expert for Data Analysis and Optimization of Sensor Performance Using Python,"I am really happy to write you back. So, I am publishing the current post. Let me know if you want to participate, Of course, you will be my first choise if you are able to do it. Description: I am seeking a data processing expert specializing in handling electrical signals from embedded systems like Raspberry Pi and Arduino. The primary task involves utilizing Python to process these signals, subsequently generating various models to evaluate their performance through a scientific demonstration. The project emanates from a sensor setup that identifies phase changes. While the sensor is operational, there's a need to optimize its performance to function at its full potential, and concurrently, delve into comprehensive analysis to assess the efficacy of different algorithms. This task extends to a comparative analysis, underpinned by metrics like the F1 score, and visual representations through charts. Key Responsibilities: Optimize the current sensor setup to achieve 100% functionality, ensuring accurate phase change detection. Employ Python for processing to create diverse models, analyzing the efficiency of various algorithms used. Conduct a rigorous comparative analysis of the algorithms, backed by metrics such as the F1 score, and provide insightful visualizations. Assist in drafting a well-detailed report encapsulating the performance, analysis, and insights on each model employed. Collaborate closely in coding endeavors to ensure seamless operation, and provide a thorough explanation of all implementations. Offer substantial contributions towards completing a scientific paper I am authoring, based on the system developed. Qualifications: Profound knowledge and experience in embedded systems, particularly Raspberry Pi and Arduino. Proficient in Python programming, especially in the context of processing and model generation. Strong background in algorithm analysis, preferably with experience in evaluating algorithm efficiency in embedded systems. Excellent communication skills for effective collaboration and knowledge transfer. Prior experience in scientific reporting and paper drafting is highly desirable. This project offers a collaborative platform to not only enhance a sensor-based system but also delve into a meaningful analysis of algorithm efficiency in real-world applications. If you are passionate about embedded systems and have a keen eye for analysis, I am looking forward to discussing this project further with you. I am looking for someone that is really good on supervised learning and unsupervised learning and all Dynamic Time Warping. That is what I use now. Thank you a lot",2,90,"Data Science,Data Analysis,Machine Learning Model,Computer Vision,Python,PyQt,Thermodynamics,+3"
29,2023-10-19,2023-10-19,Data scientist,Use R to analyze pictures and identify areas of concern in failed concrete cylinders.,"I will provide pictures for training the model. I will also provide inputs such as the age of concrete, concrete temperature, ambient temperature and humidity, compressive strength...etc. The goal is - To visualize the voids and their distribution (voids are usually pretty small), the area of failure, and the aggregate distribution or catch any differences as well as - The compare the difference between the picture with high strength vs the picture with low strength (i.e., more voids, more large aggregates or more small aggregates, and so on.)",1,100,"Data Science,R,Machine Learning,Python"
30,2023-10-19,2023-10-19,Data scientist,Content Writer Required - Python & Tableau & General Content,"I'm looking for a content writter who can prepare atleast 4 contents weekly on python and Tableau. Need to give me Script (to give voice over) + Pratise file (to display in the video) Then, I will give voice over and create video and post it - 5 to 7 mnts video using this content to post. Just tell me the topic before creating it Project Duration : Min 3 months Max 2 years Format: It should be created in a way to give voice over format (not reading method) to post videos. .it should be to readout in casual mode (like a news reader,there will be predesigned) Original and unique content (dont use GPT) Cost : Rs.250 per content",1,5,"Data Science,Tableau,Dashboard,Python,Content Creation"
31,2023-10-19,2023-10-19,Data scientist,Web development for startup sports data science company,"Looking for: Fullstack developer I am looking for a web development professional to work with to help create a site to host my algorithms and models I have created for various professional sports leagues (NBA NFL MLB) as well as using those models to host and manage different types of betting tools, analytics, and visuals. I will be offering one flat rate for a starter site and design I will be describing below, but I am hoping for this to also turn into a business relationship, and more chances to add features and be paid for it will come in the future if I am happy with the initial builds What I need from you: A website which will contain a login and sign up page, as well as an optional paid subscription that offers other features. Solid visually appealing UI/UX design Only focus on NBA algorithm for initial site, and can build visual features around it like win probability graphs for live games The ability to speak English and communicate well The ability to hop on quick teams chats (probably around 3-5 hours per week) to communicate needs and develop in tandem with the code I provide Not 100% percent necessary, but would helpful for you to have an understanding of python and SQL databases for storage What I bring to the table: an existing user base from my socials which can turn into consistent income and would allow me to pay you for more features and products down the line You won't have to worry about any of the math or specifics with how these models work. Just be able to visualize the results I give you Also I have most of the backend completed related to the NBA, (interacting with apis to get live and static , sending automatic emails to customers, automatically running the models on schedulers, calculating probabilities of events happening etc etc.) I will provide a drawing of how I want the site to look like, but it will be open to interpretation and changes if need be I will also be very open to communicate and work with you hands on through this process *Also if you are a big sports fan that is a plus and you will probably enjoy working on this project!* Depends on your personal expertise/amount of work needed/time expectation, but looking to hire in the range of 500-1,500 for the initial build",1,1000,"API Integration,Python,Web Design,Web Development,JavaScript,CSS,HTML"
32,2023-10-19,2023-10-19,Data scientist,NET Developer,"We are seeking a highly skilled and motivated .NET Developer to join our dynamic team. As a .NET Developer, you will play a key role in designing, developing, and maintaining software solutions built on the .NET framework. You will collaborate with cross-functional teams to deliver high-quality software applications that meet our clients' needs. Key Responsibilities: Software Development: Design, code, test, and maintain software applications using the .NET framework. Database Integration: Develop and maintain database solutions, including SQL Server, to ensure efficient storage and retrieval. Troubleshooting: Identify and resolve software defects, performance issues, and bugs to maintain the reliability and performance of applications. Code Reviews: Participate in code reviews to ensure code quality, adherence to coding standards, and knowledge sharing within the development team. Documentation: Create and maintain technical documentation, including system architecture, code comments, and user manuals. Collaboration: Work closely with cross-functional teams, including business analysts, QA engineers, and project managers, to gather requirements and deliver solutions. Qualifications: Bachelor's degree in Computer , Information Technology, or related field. Proven experience as a .NET Developer or in a similar role. Strong proficiency in C# and the .NET framework. Knowledge of ASP.NET, MVC, Web API, and Entity Framework. Experience with front-end technologies like HTML, CSS, JavaScript, and jQuery. Familiarity with Agile development methodologies. Excellent problem-solving and debugging skills. Strong communication and teamwork skills. Small Task: As part of the interview process, candidates will be asked to complete a small task related to .NET development. The task may involve creating a simple web application using ASP.NET and C#, implementing basic CRUD operations with a database, and ensuring proper validation and error handling. This task will help us assess your technical skills and problem-solving abilities in the context of .NET development.",1,6,".NET Framework,ASP.NET,C#,ASP.NET MVC,API,Microsoft SQL Server,SQL,JavaScript,jQuery,+1"
33,2023-10-19,2023-10-19,Data scientist,Improve my machine learning algorithm,"I have a large dataset that I am looking to train a machine learning algorithm on. Using TensorFlow and a basic neural network I have achieved a in-sample MAE of ~808 and validation MAE of ~837. The goal is to achieve an in-sample MAE of below 750 and validation MAE of below 785. You don't have to use TensorFlow or a neural network, the learning package and algorithm design is totally up to you, but it must be in python. You must use the same train / validation split as in the code and measure MAE the same way. Link to dataset and code that I wrote (in google colab): https://drive.google.com/drive/folders/1soQVI-ugYX9VhxKcCGn6M0NaW7eolMc8?usp=share_link",2,75,"Data Science,Machine Learning,Python,Deep Learning,TensorFlow"
